Player,Age,Team,Pos,G,MP,PER,WS,WS/48,OWS,DWS,BPM,OBPM,DBPM,VORP,TS%,USG%,SEASON_END_YEAR,SEASON_LABEL,name_key,PERSON_ID,PLAYER_NAME,DRAFT_YEAR,OVERALL_PICK,ROUND_NUMBER,DRAFT_TEAM,ORGANIZATION,pick_bin,era,years_pro,SALARY_USD,SALARY_SEASON_LABEL,VORP_per_1M,WS_per_1M
Danté Exum,19.0,UTA,PG,82.0,1817.0,5.7,-0.1,-0.003,-1.1,1.0,-4.3,-3.6,-0.7,-1.1,0.457,13.8,2015,2014-15,dante exum,203957,Dante Exum,2014,5,1,Utah,Australian Institute of Sport (Australia),Top 5,Post-Analytics,1,3615000.0,2014-15,-0.3042876901798064,-0.027662517289073305
Jason Smith,28.0,NYK,C,82.0,1785.0,12.0,1.2,0.032,0.5,0.7,-3.8,-2.4,-1.4,-0.8,0.497,19.7,2015,2014-15,jason smith,201160,Jason Smith,2007,20,1,Miami,Colorado State,Picks 15-30,Pre-Analytics,8,3278000.0,2014-15,-0.24405125076266018,0.3660768761439902
Mason Plumlee,24.0,BRK,C,82.0,1743.0,18.0,4.8,0.131,2.5,2.3,0.1,-0.2,0.3,0.9,0.57,19.2,2015,2014-15,mason plumlee,203486,Mason Plumlee,2013,22,1,Brooklyn,Duke,Picks 15-30,Post-Analytics,2,1357080.0,2014-15,0.6631886108409232,3.537005924484923
Rasho Nesterović,23.0,MIN,C,82.0,1723.0,11.0,3.0,0.082,1.0,1.9,-2.6,-2.9,0.3,-0.2,0.492,14.4,2000,1999-00,rasho nesterovic,1725,Rasho Nesterovic,1998,17,1,Minnesota,Virtus Pallacanestro Bologna (Italy),Picks 15-30,Pre-Analytics,2,,,,
Tyler Zeller,25.0,BOS,C,82.0,1731.0,18.9,6.5,0.179,4.5,2.0,0.9,1.0,0.0,1.3,0.594,19.6,2015,2014-15,tyler zeller,203092,Tyler Zeller,2012,17,1,Dallas,North Carolina,Picks 15-30,Post-Analytics,3,1703760.0,2014-15,0.7630182654834015,3.815091327417007
Raymond Felton,33.0,OKC,PG,82.0,1365.0,13.0,2.2,0.078,0.9,1.3,-0.6,-0.3,-0.3,0.5,0.494,20.4,2018,2017-18,raymond felton,101109,Raymond Felton,2005,5,1,Charlotte,North Carolina,Top 5,Pre-Analytics,13,1471382.0,2017-18,0.339816580602454,1.4951929546507978
Tyus Jones,21.0,MIN,PG,82.0,1467.0,14.1,3.6,0.117,2.3,1.2,0.8,-0.8,1.7,1.1,0.572,12.7,2018,2017-18,tyus jones,1626145,Tyus Jones,2015,24,1,Cleveland,Duke,Picks 15-30,Post-Analytics,3,1471382.0,2017-18,0.7475964773253989,2.446679380337669
Nikola Mirotić,23.0,CHI,PF,82.0,1654.0,17.9,5.7,0.165,3.0,2.7,2.3,1.4,1.0,1.8,0.556,22.8,2015,2014-15,nikola mirotic,202703,Nikola Mirotic,2011,23,1,Houston,Real Madrid Baloncesto (Spain),Picks 15-30,Post-Analytics,4,5305000.0,2014-15,0.3393025447690858,1.0744580584354384
Jae Crowder,24.0,2TM,SF,82.0,1647.0,13.9,3.9,0.113,1.9,2.0,0.5,-0.2,0.7,1.0,0.517,17.5,2015,2014-15,jae crowder,203109,Jae Crowder,2012,34,2,Cleveland,Marquette,Second Round,Post-Analytics,3,915243.0,2014-15,1.0926060073663497,4.261163428728763
Pat Connaughton,25.0,POR,SG,82.0,1488.0,9.3,2.5,0.08,1.2,1.3,-1.8,-1.7,-0.1,0.1,0.539,13.4,2018,2017-18,pat connaughton,1626192,Pat Connaughton,2015,41,2,Brooklyn,Notre Dame,Second Round,Post-Analytics,3,1471382.0,2017-18,0.06796331612049081,1.69908290301227
Bismack Biyombo,25.0,ORL,C,82.0,1495.0,14.1,2.9,0.094,1.1,1.8,-2.4,-2.6,0.2,-0.2,0.556,14.9,2018,2017-18,bismack biyombo,202687,Bismack Biyombo,2011,7,1,Sacramento,Baloncesto Fuenlabrada (Spain),Picks 6-14,Post-Analytics,7,17000000.0,2017-18,-0.011764705882352941,0.17058823529411765
Jakob Poeltl,22.0,TOR,C,82.0,1524.0,17.5,5.6,0.175,3.1,2.4,0.4,-0.7,1.1,0.9,0.662,14.8,2018,2017-18,jakob poeltl,1627751,Jakob Poeltl,2016,9,1,Toronto,Utah,Picks 6-14,Post-Analytics,2,2947320.0,2017-18,0.30536215952119217,1.9000312147985288
Emeka Okafor,26.0,CHA,C,82.0,2691.0,18.0,8.2,0.147,3.7,4.6,0.2,-0.1,0.3,1.5,0.581,18.9,2009,2008-09,emeka okafor,2731,Emeka Okafor,2004,2,1,Charlotte,Connecticut,Top 5,Pre-Analytics,5,9537500.0,2008-09,0.15727391874180865,0.8597640891218873
Andre Miller,28.0,DEN,PG,82.0,2852.0,16.5,7.0,0.119,4.1,2.9,0.8,0.8,0.1,2.0,0.541,19.5,2005,2004-05,andre miller,1889,Andre Miller,1999,8,1,Cleveland,Utah,Picks 6-14,Pre-Analytics,6,,,,
Drew Gooden,23.0,CLE,PF,82.0,2523.0,19.7,8.5,0.163,4.7,3.8,1.6,1.6,0.0,2.3,0.548,21.7,2005,2004-05,drew gooden,2400,Drew Gooden,2002,4,1,Memphis,Kansas,Top 5,Pre-Analytics,3,,,,
Ryan Gomes,26.0,MIN,SF,82.0,2614.0,12.5,2.5,0.046,1.3,1.3,-1.7,-0.5,-1.2,0.2,0.518,20.4,2009,2008-09,ryan gomes,101155,Ryan Gomes,2005,50,2,Boston,Providence,Second Round,Pre-Analytics,4,3650000.0,2008-09,0.05479452054794521,0.684931506849315
Jason Thompson,22.0,SAC,PF,82.0,2303.0,13.9,2.7,0.057,1.8,0.9,-4.2,-2.0,-2.2,-1.3,0.54,19.3,2009,2008-09,jason thompson,201574,Jason Thompson,2008,12,1,Sacramento,Rider,Picks 6-14,Pre-Analytics,1,1893840.0,2008-09,-0.6864360241625481,1.425674819414523
Mehmet Okur,25.0,UTA,C,82.0,2304.0,18.9,7.0,0.147,5.3,1.8,2.0,2.4,-0.5,2.3,0.569,21.3,2005,2004-05,mehmet okur,2246,Mehmet Okur,2001,37,2,Detroit,Anadolu Efes S.K. (Turkey),Second Round,Pre-Analytics,4,,,,
