Player,Age,Team,Pos,G,MP,PER,WS,WS/48,OWS,DWS,BPM,OBPM,DBPM,VORP,TS%,USG%,SEASON_END_YEAR,SEASON_LABEL
Ray Allen,21.0,MIL,SG,82.0,2532.0,14.6,4.9,0.092,3.3,1.5,-0.1,0.8,-0.9,1.2,0.541,21.4,1997,1996-97
Michael Smith,24.0,SAC,PF,81.0,2526.0,13.3,5.4,0.102,2.2,3.2,0.1,-0.9,0.9,1.3,0.545,11.0,1997,1996-97
Bryon Russell,26.0,UTA,SF,81.0,2525.0,13.7,7.4,0.14,3.9,3.4,1.9,0.7,1.2,2.5,0.6,15.1,1997,1996-97
Elden Campbell,28.0,LAL,PF,77.0,2516.0,16.8,7.0,0.134,3.4,3.6,-0.6,-0.6,0.0,0.8,0.52,22.0,1997,1996-97
Horace Grant,31.0,ORL,PF,67.0,2496.0,17.3,7.7,0.148,4.1,3.6,2.4,1.1,1.3,2.8,0.546,16.1,1997,1996-97
A.C. Green,33.0,2TM,PF,83.0,2492.0,12.4,4.8,0.093,2.4,2.4,-1.4,-1.0,-0.4,0.4,0.523,11.8,1997,1996-97
A.C. Green,33.0,PHO,PF,27.0,548.0,11.6,0.8,0.073,0.3,0.5,-1.6,-1.8,0.1,0.0,0.513,13.9,1997,1996-97
A.C. Green,33.0,DAL,PF,56.0,1944.0,12.6,4.0,0.099,2.2,1.8,-1.3,-0.7,-0.5,0.4,0.527,11.2,1997,1996-97
Rodney Rogers,25.0,LAC,SF,81.0,2480.0,14.2,2.9,0.056,0.7,2.2,-0.7,-0.5,-0.2,0.8,0.53,22.2,1997,1996-97
Avery Johnson,31.0,SAS,PG,76.0,2472.0,15.0,3.4,0.066,3.4,0.0,-1.1,0.2,-1.3,0.6,0.517,17.3,1997,1996-97
Malik Sealy,26.0,LAC,SG,80.0,2456.0,13.7,3.2,0.063,1.1,2.1,-0.8,-1.0,0.2,0.7,0.504,22.3,1997,1996-97
Eric Williams,24.0,BOS,SG,72.0,2435.0,13.3,2.9,0.056,2.5,0.3,-3.0,-1.1,-1.9,-0.6,0.533,20.3,1997,1996-97
Popeye Jones,26.0,TOR,PF,79.0,2421.0,12.0,4.2,0.083,2.0,2.2,-3.2,-2.2,-1.0,-0.7,0.522,13.1,1997,1996-97
Calbert Cheaney,25.0,WSB,SG,79.0,2411.0,11.1,3.9,0.077,1.6,2.2,-2.5,-2.6,0.1,-0.3,0.53,16.5,1997,1996-97
Matt Maloney,25.0,HOU,PG,82.0,2386.0,12.3,5.3,0.107,3.2,2.1,0.1,0.0,0.1,1.3,0.585,14.8,1997,1996-97
Bobby Phills,27.0,CLE,SG,69.0,2375.0,13.9,5.0,0.101,1.3,3.7,1.1,-0.3,1.5,1.9,0.514,20.6,1997,1996-97
Antonio Davis,28.0,IND,PF,82.0,2335.0,13.8,5.2,0.106,1.7,3.4,-1.3,-1.4,0.1,0.4,0.536,18.6,1997,1996-97
Wesley Person,25.0,PHO,SG,80.0,2326.0,15.9,5.2,0.108,3.7,1.5,1.9,2.4,-0.5,2.3,0.567,19.9,1997,1996-97
Stephon Marbury,19.0,MIN,PG,67.0,2324.0,16.1,3.7,0.077,2.5,1.2,0.0,2.2,-2.3,1.2,0.519,24.2,1997,1996-97
Alonzo Mourning,26.0,MIA,C,66.0,2320.0,21.6,8.4,0.174,2.8,5.6,2.9,0.5,2.5,2.9,0.578,27.5,1997,1996-97
Sherman Douglas,30.0,MIL,PG,79.0,2316.0,14.6,4.6,0.095,3.4,1.2,-0.2,0.6,-0.8,1.1,0.557,16.8,1997,1996-97
Tyrone Corbin,34.0,ATL,SF,70.0,2305.0,11.0,5.0,0.104,1.8,3.1,-0.4,-1.4,1.0,1.0,0.514,15.0,1997,1996-97
Anthony Peeler,27.0,VAN,SG,72.0,2291.0,13.8,0.6,0.012,-0.3,0.8,-1.8,-0.4,-1.4,0.1,0.487,24.9,1997,1996-97
Shawn Bradley,24.0,2TM,C,73.0,2288.0,16.5,3.0,0.062,0.0,3.0,-1.1,-1.9,0.8,0.5,0.478,22.1,1997,1996-97
Shawn Bradley,24.0,NJN,C,40.0,1228.0,16.3,1.8,0.071,0.2,1.6,-0.6,-1.9,1.2,0.4,0.47,19.9,1997,1996-97
Shawn Bradley,24.0,DAL,C,33.0,1060.0,16.7,1.2,0.052,-0.2,1.3,-1.6,-1.8,0.2,0.1,0.486,24.5,1997,1996-97
Todd Day,27.0,BOS,SG,81.0,2277.0,15.5,3.2,0.068,2.1,1.2,-0.4,0.9,-1.2,0.9,0.515,24.0,1997,1996-97
Clyde Drexler,34.0,HOU,SG,62.0,2271.0,19.9,8.1,0.172,4.8,3.4,4.8,3.4,1.5,3.9,0.548,23.5,1997,1996-97
Bob Sura,23.0,CLE,SG,82.0,2269.0,14.8,5.2,0.111,1.6,3.7,1.7,0.1,1.6,2.1,0.519,20.0,1997,1996-97
Vinny Del Negro,30.0,SAS,SG,72.0,2243.0,14.4,3.1,0.066,3.2,-0.1,-1.5,-0.1,-1.4,0.3,0.529,19.3,1997,1996-97
Anfernee Hardaway,25.0,ORL,PG,59.0,2221.0,21.4,8.1,0.175,5.8,2.2,4.9,4.5,0.4,3.9,0.554,25.7,1997,1996-97
Derek Harper,35.0,DAL,PG,75.0,2210.0,12.9,2.7,0.058,1.5,1.2,-1.4,-0.9,-0.5,0.3,0.516,17.9,1997,1996-97
Gerald Wilkins,33.0,ORL,SG,80.0,2202.0,11.2,2.1,0.046,0.9,1.2,-2.5,-1.4,-1.1,-0.3,0.503,20.2,1997,1996-97
Bo Outlaw,25.0,LAC,PF,82.0,2195.0,16.3,6.1,0.133,3.2,2.8,2.8,0.3,2.5,2.6,0.602,12.7,1997,1996-97
Detlef Schrempf,34.0,SEA,SF,61.0,2192.0,18.3,8.0,0.174,5.1,2.9,3.3,2.9,0.4,2.9,0.592,21.1,1997,1996-97
Dennis Scott,28.0,ORL,SF,66.0,2166.0,12.4,3.8,0.084,2.0,1.8,0.0,0.2,-0.1,1.1,0.519,18.6,1997,1996-97
Jamal Mashburn,24.0,2TM,SF,69.0,2164.0,12.6,3.6,0.081,1.0,2.6,-0.8,-1.0,0.2,0.6,0.487,20.6,1997,1996-97
Jamal Mashburn,24.0,DAL,SF,37.0,975.0,11.9,0.4,0.021,-0.2,0.6,-2.3,-1.4,-1.0,-0.1,0.464,22.7,1997,1996-97
Jamal Mashburn,24.0,MIA,SF,32.0,1189.0,13.1,3.2,0.13,1.2,2.0,0.4,-0.8,1.2,0.7,0.511,18.8,1997,1996-97
Nick Anderson,29.0,ORL,SG,63.0,2163.0,13.8,4.2,0.093,1.3,2.9,1.8,0.2,1.6,2.1,0.494,18.2,1997,1996-97
Hot Rod Williams,34.0,PHO,C,68.0,2137.0,13.8,5.3,0.119,2.8,2.5,0.0,-0.6,0.6,1.0,0.538,12.0,1997,1996-97
Danny Manning,30.0,PHO,PF,77.0,2134.0,17.9,5.2,0.117,2.8,2.4,1.0,0.1,0.9,1.6,0.574,22.5,1997,1996-97
Mahmoud Abdul-Rauf,27.0,SAC,PG,75.0,2131.0,13.2,2.7,0.06,2.0,0.7,-2.6,-0.8,-1.8,-0.4,0.524,23.2,1997,1996-97
Voshon Lenard,23.0,MIA,SG,73.0,2111.0,14.7,6.8,0.155,3.9,2.9,2.7,2.2,0.5,2.6,0.614,18.7,1997,1996-97
Derrick Coleman,29.0,PHI,PF,57.0,2102.0,17.3,3.3,0.076,1.8,1.6,0.7,0.8,-0.1,1.5,0.518,23.7,1997,1996-97
Dell Curry,32.0,CHH,SG,68.0,2078.0,15.0,3.8,0.089,2.8,1.0,0.0,1.2,-1.2,1.0,0.561,22.5,1997,1996-97
Chris Childs,29.0,NYK,PG,65.0,2076.0,11.2,3.9,0.091,0.8,3.2,-0.3,-1.4,1.0,0.9,0.526,16.8,1997,1996-97
Vernon Maxwell,31.0,SAS,SG,72.0,2068.0,11.8,0.0,-0.001,-0.4,0.3,-3.2,-1.7,-1.5,-0.6,0.471,24.9,1997,1996-97
Travis Best,24.0,IND,PG,76.0,2064.0,13.3,4.1,0.096,1.8,2.3,0.0,-0.9,0.9,1.0,0.533,19.3,1997,1996-97
Johnny Newman,33.0,MIL,SF,82.0,2060.0,10.8,2.8,0.065,1.6,1.2,-2.6,-2.4,-0.2,-0.3,0.545,17.3,1997,1996-97
Armen Gilliam,32.0,MIL,PF,80.0,2050.0,13.6,4.1,0.097,1.9,2.2,-1.7,-1.5,-0.2,0.2,0.543,16.8,1997,1996-97
Sam Mitchell,33.0,MIN,SF,82.0,2044.0,11.8,3.3,0.077,1.8,1.5,-3.7,-2.7,-1.0,-0.9,0.523,18.5,1997,1996-97
